"county","year","month","month_name","mean_temp","total_precip"
"Baringo",1958,7,"Jul",21.3636531829834,143.14128112793
"Baringo",1958,8,"Aug",19.9103107452393,269.478759765625
"Baringo",1958,9,"Sep",18.6796703338623,472.469299316406
"Baringo",1958,10,"Oct",19.0400066375732,249.713394165039
"Baringo",1958,11,"Nov",20.3148670196533,118.574508666992
"Baringo",1958,12,"Dec",21.3395519256592,86.7464065551758
"Baringo",1959,1,"Jan",22.4235534667969,14.2917404174805
"Baringo",1959,2,"Feb",21.7143173217773,47.1567192077637
"Baringo",1959,3,"Mar",22.9128074645996,33.3071365356445
"Baringo",1959,4,"Apr",22.7558841705322,41.1546936035156
"Baringo",1959,5,"May",22.1824150085449,96.7990646362305
"Baringo",1959,6,"Jun",22.0473480224609,165.031326293945
"Baringo",1959,7,"Jul",20.7399444580078,336.780853271484
"Baringo",1959,8,"Aug",20.8236808776855,71.9718322753906
"Baringo",1959,9,"Sep",19.6582374572754,243.534286499023
"Baringo",1959,10,"Oct",19.8285827636719,159.993270874023
"Baringo",1959,11,"Nov",21.2196102142334,99.5255279541016
"Baringo",1959,12,"Dec",21.6102123260498,100.297950744629
"Baringo",1960,1,"Jan",21.2741584777832,82.7742538452148
"Baringo",1960,2,"Feb",21.6419200897217,23.6820869445801
"Baringo",1960,3,"Mar",22.5175247192383,28.96706199646
"Baringo",1960,4,"Apr",23.5720901489258,16.0953235626221
"Baringo",1960,5,"May",22.1174449920654,140.969589233398
"Baringo",1960,6,"Jun",22.3187141418457,104.167053222656
"Baringo",1960,7,"Jul",21.4895191192627,143.229797363281
"Baringo",1960,8,"Aug",21.8250026702881,56.3865089416504
"Baringo",1960,9,"Sep",19.200855255127,294.269104003906
"Baringo",1960,10,"Oct",19.583194732666,288.105712890625
"Baringo",1960,11,"Nov",20.5212059020996,113.53214263916
"Baringo",1960,12,"Dec",22.1653308868408,40.124885559082
"Baringo",1961,1,"Jan",22.1403522491455,36.6670684814453
"Baringo",1961,2,"Feb",22.3009605407715,22.6836585998535
"Baringo",1961,3,"Mar",23.4105052947998,2.96974492073059
"Baringo",1961,4,"Apr",23.6759777069092,8.10603332519531
"Baringo",1961,5,"May",23.7583751678467,33.1287078857422
"Baringo",1961,6,"Jun",22.6574935913086,93.6888580322266
"Baringo",1961,7,"Jul",22.2959365844727,127.724327087402
"Baringo",1961,8,"Aug",21.2048740386963,165.227676391602
"Baringo",1961,9,"Sep",19.432409286499,219.769882202148
"Baringo",1961,10,"Oct",18.9486923217773,342.864440917969
"Baringo",1961,11,"Nov",20.2396621704102,95.1189270019531
"Baringo",1961,12,"Dec",20.6945610046387,132.509262084961
"Baringo",1962,1,"Jan",19.3038902282715,257.140289306641
"Baringo",1962,2,"Feb",19.5119953155518,77.8229827880859
"Baringo",1962,3,"Mar",20.2356452941895,46.8619194030762
"Baringo",1962,4,"Apr",22.7083168029785,2.09121561050415
"Baringo",1962,5,"May",22.8645725250244,34.6306800842285
"Baringo",1962,6,"Jun",21.8668804168701,144.667770385742
"Baringo",1962,7,"Jul",20.175817489624,245.770385742188
"Baringo",1962,8,"Aug",19.8352642059326,77.9168930053711
"Baringo",1962,9,"Sep",19.6777153015137,174.968276977539
"Baringo",1962,10,"Oct",19.8905754089355,103.599243164062
"Baringo",1962,11,"Nov",20.7428283691406,127.683212280273
"Baringo",1962,12,"Dec",22.0440101623535,43.4723320007324
"Baringo",1963,1,"Jan",21.1867733001709,81.8249816894531
"Baringo",1963,2,"Feb",20.8734683990479,61.0325355529785
"Baringo",1963,3,"Mar",21.2841339111328,28.8504905700684
"Baringo",1963,4,"Apr",21.7789421081543,62.140323638916
"Baringo",1963,5,"May",21.7704811096191,103.39965057373
"Baringo",1963,6,"Jun",20.9042644500732,304.345245361328
"Baringo",1963,7,"Jul",20.0410823822021,331.902709960938
"Baringo",1963,8,"Aug",20.2855987548828,81.4832153320312
"Baringo",1963,9,"Sep",19.4084548950195,193.258697509766
"Baringo",1963,10,"Oct",19.1736068725586,287.751495361328
"Baringo",1963,11,"Nov",21.3807697296143,37.4801750183105
"Baringo",1963,12,"Dec",23.1680679321289,19.9532604217529
"Baringo",1964,1,"Jan",20.884428024292,122.324813842773
"Baringo",1964,2,"Feb",19.1936683654785,159.020370483398
"Baringo",1964,3,"Mar",21.0426635742188,19.331714630127
"Baringo",1964,4,"Apr",22.8639717102051,21.7974796295166
